network,neg,pos,ratio,mode,h1,h2,lr,bs,best_epoch,best_val_recall,best_val_neg_recall,best_balanced_acc
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,256,0.0003,32,0,0.6776135563850403,0.8309416770935059,0.7542776167392731
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,256,0.0004,16,0,0.6739190220832825,0.8501119613647461,0.7620154917240143
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,32,0.0001,32,0,0.6613300442695618,0.8318219184875488,0.7465759813785553
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,32,0.0002,32,0,0.7114121317863464,0.8035098910331726,0.7574610114097595
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,32,0.003,32,0,0.653393566608429,0.8706353306770325,0.7620144486427307
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,32,0.0003,32,0,0.6616037487983704,0.8617675304412842,0.7616856396198273
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,32,0.0004,32,0,0.6536672115325928,0.8634521961212158,0.7585597038269043
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,32,0.0007,32,0,0.7267377972602844,0.8003814220428467,0.7635596096515656
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,32,0.0008,128,0,0.6428571343421936,0.8761749863624573,0.7595160603523254
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,32,0.009,64,0,0.6739190220832825,0.8444839119911194,0.7592014670372009
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,64,0.001,32,0,0.6787082552909851,0.8433523178100586,0.7610302865505219
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,64,0.001,64,0,0.6506568193435669,0.8729860782623291,0.761821448802948
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,64,0.002,32,0,0.674055814743042,0.8478443026542664,0.7609500586986542
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,64,0.0004,16,0,0.7190749645233154,0.7997756004333496,0.7594252824783325
FullyConnectedPerceptron,1,1,1.0,weightedBCE,64,128,0.0005,32,0,0.7267377972602844,0.7747952342033386,0.7507665157318115
FullyConnectedPerceptron,1,1,1.0,weightedBCE,64,256,0.0002,32,0,0.6992337107658386,0.7802101969718933,0.739721953868866
FullyConnectedPerceptron,1,1,1.0,weightedBCE,64,32,0.001,16,0,0.7271483540534973,0.7939382195472717,0.7605432868003845
FullyConnectedPerceptron,1,1,1.0,weightedBCE,64,64,0.001,16,0,0.7204433679580688,0.7940101027488708,0.7572267353534698
FullyConnectedPerceptron,1,1,1.0,weightedBCE,64,64,0.003,16,0,0.6444991827011108,0.8687646389007568,0.7566319108009338
FullyConnectedPerceptron,1,1,1.0,weightedBCE,64,64,0.0006,32,0,0.7431581616401672,0.7705968022346497,0.7568774819374084
FullyConnectedPerceptron,1,2,2.0,BCE,128,128,0.004,16,0,0.6113011240959167,0.90205055475235,0.7566758394241333
FullyConnectedPerceptron,1,2,2.0,BCE,128,256,0.004,16,0,0.6063756942749023,0.8905755877494812,0.7484756410121918
FullyConnectedPerceptron,1,2,2.0,BCE,128,256,0.006,16,0,0.5018470287322998,0.9343130588531494,0.7180800437927246
FullyConnectedPerceptron,1,2,2.0,BCE,128,32,0.001,16,0,0.64755779504776,0.8721579909324646,0.7598578929901123
FullyConnectedPerceptron,1,2,2.0,BCE,128,32,0.001,32,0,0.5415241718292236,0.9379388093948364,0.73973149061203
FullyConnectedPerceptron,1,2,2.0,BCE,128,32,0.0001,32,0,0.5489122867584229,0.9032307267189026,0.7260715067386627
FullyConnectedPerceptron,1,2,2.0,BCE,128,32,0.002,32,0,0.5692981481552124,0.9337109327316284,0.7515045404434204
FullyConnectedPerceptron,1,2,2.0,BCE,128,32,0.0002,32,0,0.6129429340362549,0.8897669315338135,0.7513549327850342
FullyConnectedPerceptron,1,2,2.0,BCE,128,32,0.0003,32,0,0.594062089920044,0.897218644618988,0.745640367269516
FullyConnectedPerceptron,1,2,2.0,BCE,128,64,0.0002,64,0,0.5028047561645508,0.9405937790870668,0.7216992676258087
FullyConnectedPerceptron,1,2,2.0,BCE,256,128,0.0001,16,0,0.5716240406036377,0.90860778093338,0.7401159107685089
FullyConnectedPerceptron,1,2,2.0,BCE,256,128,0.0001,64,0,0.523053765296936,0.9275494813919068,0.7253016233444214
FullyConnectedPerceptron,1,2,2.0,BCE,256,128,0.0002,16,0,0.6218360662460327,0.8885133862495422,0.7551747262477875
FullyConnectedPerceptron,1,2,2.0,BCE,256,128,0.003,16,0,0.5895471572875977,0.91916823387146,0.7543576955795288
FullyConnectedPerceptron,1,2,2.0,BCE,256,128,0.0003,128,0,0.4963743388652801,0.9460242390632628,0.7211992889642714
FullyConnectedPerceptron,1,2,2.0,BCE,256,128,0.0005,64,0,0.5682035684585571,0.9282342195510864,0.7482188940048218
FullyConnectedPerceptron,1,2,2.0,BCE,256,128,0.0006,16,0,0.6149952411651611,0.9038049578666688,0.7594000995159149
FullyConnectedPerceptron,1,2,2.0,BCE,256,128,0.0008,16,0,0.5925571322441101,0.9142666459083556,0.7534118890762329
FullyConnectedPerceptron,1,2,2.0,BCE,256,256,0.002,128,0,0.6698590517044067,0.8553575873374939,0.7626083195209503
FullyConnectedPerceptron,1,2,2.0,BCE,256,256,0.0004,32,0,0.6223833560943604,0.8942253589630127,0.7583043575286865
FullyConnectedPerceptron,1,2,2.0,BCE,256,32,0.01,64,0,0.5668354034423828,0.9274401664733888,0.7471377849578857
FullyConnectedPerceptron,1,2,2.0,BCE,256,32,0.001,64,0,0.6002188920974731,0.9138281345367432,0.7570235133171082
FullyConnectedPerceptron,1,2,2.0,BCE,256,32,0.002,64,0,0.6184156537055969,0.9082009196281432,0.7633082866668701
FullyConnectedPerceptron,1,2,2.0,BCE,256,32,0.0004,64,0,0.6307292580604553,0.8801661729812622,0.7554477155208588
